"0"
"baboso, -a:adj. dimwit; twit"
"balena:n.f. whale; fat  woman. (lit.: whale)"
"look:n.m. look,  appearance. (n.b.: from the English word, and used varying in Spanish)"
"lorca:n.m. heat; warmth.  (revrersed form; note: hace lorca is the same as hace calor, it's warm/hot out)"
"loro:n.m. ugly woman;  old bag; old bat; hag. (lit.: parrot)"
"loro:n.m. radio;  radiocassette. (lit.: parrot)"
"los de arriba:idiom. the people  on top; the upper crust. (lit.: those above)"
"los pros y las  contras:idiom. the pros  and the cons"
"lotería:idiom. bingo; got  it. (n.b.: said when finding something or experiencing a stroke of good luck)"
"machete:n.m. crib sheet.  (lit.: machete)"
"maldita sea:idiom. damned;  darned. (lit.: cursed be it; n.b.: used as a euphemism for stronger  interjections and expletives)"
"maldita sea:idiom. damn it;  darn it. (lit.: may it be damned)"
"mamada:n.f. blow job"
"mamada:n.f. binge;  drinking binge"
"mamar:v. blow; give  someone a blowjob; go down on. (lit.: to suck; can also be used to mean 'no  fooling' or 'don't kid with me' in the form 'no mames')"
"mamarracho:n.m./f. mess;  sight"
"mamita:n.f. baby; girl.  (n.b.: colloquial/vulgar form of address by a man to a woman he finds  attractive)"
"mamoncete:n.m. bastard;  little bastard; little fuck. (n.b.: vulgar, strong insult)"
"mandar a paseo:idiom. tell  someone to take a hike"
"mande:idiom. what;  please; how's that. (used in Mexico as we in English say ""what"" when  we want someone to repeat or clarify something)"
"manteca:n.f. heroin.  (lit.: fat; animal fat)"
"manteca:n.f. dough; cash;  money. (lit.: fat; animal fat)"
"mantener a raya:idiom. keep  someone at bay; keep someone away"
"mantenerse en su  sitio:idiom. stick to  one's guns; stand one's ground. (lit.: maintain oneself in one's position)"
"mantenerse en sus  trece:idiom. stick to  one's guns; stand one's ground. (lit.: maintain oneself in one's thirteen)"
"maquillaje:n.m. massaging;  fudging (accounts, financial records). (lit.: makeup)"
"marcha:n.f. party"
"marchoso/-a:adj. fun;  exciting; a good time; a great time"
"marica:n.f. fag; faggot;  gay person. (n.b.: vulgar)"
"maricón:n.m. faggot, gay,  homo. (n.b.: used mostly in Spain, though also in Cono del Sur. "
"mas o menos:idiom. more or  less; roughly; approximately. (lit.: more or less)"
"más tieso que un palo:idiom. straight;  upright; bolt upright"
"mate:n.f. mathematics.  (student slang)"
"mayor de edad:idiom. of age"
"me la trae floja:vulg. I don't give  a fuck; bugger it all"
"me vale verga:v. I don't give a  shit; I don't give a damn"
"mear:v. pis; pee; take  a piss; take a leak"
"media naranja:idiom. better  half; spouse, wife, partner. (lit.: half of an orange)"
"media pila:idiom. minimal  effort; some effort; enough effort to accomplish something but no more. (lit.:  half a battery)"
"menor de edad:idiom. underage"
"menos mal:idiom. just as  well, good thing, thank goodness. (lit.: less bad)"
"mequetrefe:n.m. good-for-nothing"
"meter en líos:idiom. get into  trouble. (lit.: to put into trouble)"
"meter palos en las  ruedas:idiom. throw a  (monkey) wrench in the works; throw a spanner in the works"
"meter(se) la pata:idiom. get  involved; become a part of. (lit.: to put in the leg (animal’s paw))"
"metete un pelo en el  culo:idiom. stick it up  your ass"
"mi/tu abuela:idiom. my foot.  (lit.: grandmother)"
"micromini:n.f. mini  miniskirt; very short skirt"
"mientras tanto:idiom. meanwhile,  in the meantime. (lit.: to the monkfish)"
"mierda:n.f. shit;  excrement. (n.b.: vulgar; more details here)"
"mina:n.f. girl; woman.  (used in Cono del Sur)"
"minita:n.f. girl; woman.  (used in Cono del Sur)"
"miñón:adj. cute;  attractive; sweet (said of women). (used in Latin American)"
"mirar de reojo:idiom. look at out  of the corner of the eye"
"mirar por encima:idiom. glance at;  look quickly through"
"momento:idiom. wait; wait  a second; wait a moment. (used when asking someone to wait briefly)"
"mona:adj. attractive;  hot; sexy (said of women). (used in Argentina)"
"monada:n.f. very cute or  cool thing. (used in Spain)"
"montar un negocio:idiom. set up a business;  start a business. (used in Spain)"
"montón:n.m. lots; bunch.  (lit.: mountain)"
"morfa:n.f. morphine.  (abbreviated form)"
"morfi:n.m. grub; chow;  nosh. (used in Colo del Sur)"
"morirse de risa:idiom. die  laughing"
"morochos:n.m. pl. twins.  (used in Venezuela)"
"mosca:n.f. irritating  person. (lit.: fly)"
"mostrar tino:idiom. show good  sense; be right. (lit.: to show sound judgment, good sense)"
"muergano:n.m./f. lout;  slob. (used in the Andes)"
"muermo/-a:adj. boring; dull;  lifeless. (used in Spain)"
"a (la) merced de:idiom. at the  mercy of. (n.b.: the “la” is often omitted)"
"a altas horas de la  madrugada:idiom. in the  small hours of the morning"
"a cargo de:idiom. in charge  of; responsible for; by"
"a causa de:idiom. because of;  as a result of. (lit.: at the cause of)"
"a chorros:idiom. in  abundance; plenty; lots"
"a contrapelo:idiom. wrong way;  backwards; backassed"
"a corto plazo:idiom. in the  short run; short-term; in the short term. (lit.: at short place)"
"a deshora:idiom. at an  inconvenient time"
"a diario:idiom. daily;  every day"
"a diario:idiom. daily"
"a disgusto:idiom. reluctantly"
"a duras penas:idiom. hardly;  barely; with difficulty"
"a eso de:idiom. around,  about (time). (lit.: a this of)"
"a estas alturas:idiom. at this  point; in this situation"
"a fin de cuentas:idiom. in the end;  after all"
"a fondo:idiom. in depth;  deeply; fully"
"a gatas:idiom. crawling. (lit.:  on legs/feet; used with the verbs estar or andar)"
"a juro:idiom. no matter  what. (used in Venezuela)"
"a la altura:idiom. at the  level; up to. (lit.: at the height)"
"a la intemperie:idiom. in the open.  (lit.: at/on the elements. Intemperie refers to the weather and other forces in  the physical, natural world, particularly as experienced without the benefits  of technology, particularly modern technology)"
"a la par de:idiom. on the same  level as"
"a la salida del sol:idiom. sunrise. (lit.:  at the appearance of the sun)"
"a la vez:idiom. at once; at  the same time. (lit.: at the time)"
"a la vista:idiom. in view; in  sight. (lit.: at the sight)"
"a largo plazo:idiom. in the long  run; long-term; in the long term. (lit.: at long place)"
"a lo largo (de):idiom. along; at  the other end. (lit.: at the far/long)"
"a lo lejos:idiom. from afar;  at a distance. (lit.: at the distant; allso in the form “a los lejos.”)"
"a lo mejor:idiom. probably;  most likely. (lit.: to the better)"
"a manos de:idiom. at the  hands of"
"a manos llenas:idiom. generously;  lavishly. (lit.: with full hands)"
"a medida que:idiom. as  (something happens or happened); in the process of (something happening)"
"a medio plazo:idiom. medium-term;  in the medium term"
"a menudo:idiom. often,  frequently. (lit.: of often)"
"a mi modo de pensar:idiom. in my view;  the way I see it"
"a mi modo de ver:idiom. in my view;  the way I see it"
"a otro perro con ese  hueso:idiom. go tell it  to the marines. (lit.: [give] this bone to another dog)"
"a palo seco:idiom. on its own;  with nothing else"
"a partir de ahora:idiom. from now  one. (lit.: at the start of now)"
"a pesar de:idiom. despite; in  spite of"
"a plazo:idiom. on credit"
"a plena luz:idiom. in broad  daylight"
"a primera hora:idiom. at the  earliest moment"
"a primera vista:idiom. at first  sight; at first blush. (lit.: at first sight)"
"a propósito:idiom. on purpose;  deliberately"
"a propósito:idiom. by the way;  speaking of which"
"a punto de:idiom. on the  verge of, about to. (lit.: at point of)"
"a que:idiom. I bet. (lit.:  to what)"
"a ratos:idiom. from time  to time"
"a sus espaldas:idiom. behind  someone's back"
"a tientas:idiom. by touch,  by feel"
"a toda costa:idiom. at all costs.  (lit.: at all cost)"
"a toda máquina:idiom. quickly,  fast. (lit.: at all machine)"
"a toda prisa:idiom. with all  speed, hastily, quickly. (lit.: at all haste)"
"a todas luces:idiom. by any  reckoning"
"a todo correr:idiom. with all  speed, hastily, quickly. (lit.: at full running (run))"
"a toro pasado:idiom. in  retrospect; in hindsight. (lit.: by the bull gone past)"
"a trabajar:idiom. to work. (n.b.:  said when encouraging yourself or others to start working)"
"a tráves de:idiom. through"
"a veces:idiom. sometimes;  at times"
"a ver:idiom. now then;  let's see; hm-m"
"a verga:idiom. by hook or  by crook"
"a(l) fin de cuentas:idiom. when all’s  said and done; when it comes down to it. (lit.: at (the) end of accounts)"
"adán:n.m. a mess, a  sight. (lit.: adam)"
"aguafiestas:n.m. wet blanket;  party pooper. (lit.: water on a party)"
"ahora mismo:idiom. right now;  this minute"
"al azar:idiom. at random;  randomly. (lit.: to chance)"
"al cabo de:idiom. after,  since. (lit.: at the finish of)"
"al diablo:phrase. :              damn it; drat; darn it. (lit.: to the devil; n.b.: used as  an expression of frustration or anger)"
"al dope:phrase:              useless; a waste of time. (reversed form of ""al  pedo""; used mostly in the Cono del Sur)"
"al fin y al cabo:idiom. in the end;  ultimately. (lit.: at (the) end and at (the) finish)"
"al final:idiom. in the end,  finally. (lit.: at (the) end)"
"al menos:idiom. at least,  at a minimum. (lit.: at the least)"
"al oro:idiom. good; well  done. (used in Venezuela)"
"al parecer:idiom. apparently;  apparent; by appearances"
"al pedo:phrase. :              useless; a waste of time. (used mostly in the Cono del Sur)"
"al poco rato:idiom. after a  little while"
"al rape:idiom. closely-cropped;  close cut. (lit.: to the monkfish)"
"al revés:idiom. backwards;  the other way around; the opposite"
"alcornoque:idiom. blockhead;  dunderhead; nincompoop. (lit.: cork oak)"
"alegre:adj. tipsy"
"alegrías:n.f.pl. balls;  testicles; male genitals. (lit.: happiness)"
"alhaja:n.f. gem; jewel;  fine one. (n.b.: said with irony or humor)"
"almas gemelas:idiom. soulmates.  (lit.: twin souls)"
"almeja:n.f. vagina. (lit.:  clam; n.b.: vulgar)"
"almendra:n.f. bullet. (lit.:  almond)"
"anato:n.f. anatomy. (student  slang)"
"anda a bañarte:idiom. :              take a hike; go jump in a lake; get lost. (lit.: go to bathe  yourself)"
"andar a palos:idiom. be fighting  or squabbling all the time"
"andar como burro sin  mecate:idiom. be wild; be  out of control. (lit.: to walk like a donkey wihout a leash)"
"animal:n.m. brute; animal.  (lit.: animal; n.b.: applies to both sexes and is insulating)"
"año nuevo, vida nueva:idiom. Happy New  Year. (lit.: new year, new life; used as a greeting or statement around Jan. 1)"
"antigualla:n.f. piece of  junk; old, ratty thing. (n.b.: derogatory)"
"apalear oro:idiom. be rolling  in dough; be made of money"
"apretarse el cinturón:idiom. tighten  one's belt; economize"
"armar un jaleo:idiom. make a  fuss, commotion. (lit.: to arm or raise a fuss)"
"armar una bronca:idiom. kick up a  fuss"
"armarse la gorda:idiom. cause a  ruckus; have all hell break loose. (lit.: to arm oneself the fat one)"
"armarse un lio:idiom. raise hell;  make a fuss. (lit.: to arm or raise a fight)"
"arrimar el ascua a su  sardina:idiom. put one’s  own interests first; work things to one’s advantage. (lit.: to bring coals or  embers to one’s sardine)"
"asa:n.f. nose"
"así que:idiom. so that,  which means that. (lit.: thus that)"
"atar corto a alg:idiom. keep  someone on a short leash; keep someone under tight rein. (lit.: tie someone  close)"
"atún:n.m. idiot. (lit.:  tuna)"
"ausente sin culpa ni  presente sin disculpa:idiom. the  absentee is always in the wrong. (lit.: absent without blame and no present  without excuses)"
"Ave María Purísima:idiom. for  heaven’s sake. (lit.: hail most pure Mary; n.b.: used in religious services,  and as an exclamation)"
"aventura:n.f. affair; fling"
"tacaño/-a:n. cheapskate;  miser"
"tacaño/-a:adj. stingy;  cheap; tight-fisted"
"tacote:n.m. grass;  marijuana. (used mostly in Mexico)"
"tacuaco:adj. chubby;  plump. (used in the Cono del Sur region)"
"tal vez:idiom. probably,  maybe, perhaps"
"tano:n.m./f. Italian  person. (abbreviated form; used in Argentina; can be insulting)"
"tanque:n.m. fat person.  (lit.: tank)"
"tarde o temprano:idiom. sooner or  later. (lit.: late or early)"
"tata:n.m. dad; daddy.  (n.b.: used in Latin American Spanish mostly)"
"tele:idiom. tv; telly;  television"
"telo:n.m. hotel;  hostel; love hotel. (reversed form of hotel; usually refers to one in which  couples rent a room for everal hours or one night to engage in sexual activity)"
"tener a alg. en  ascuas:idiom. keep  someone in suspense; keep someone on tenderhooks. (lit.: to have someone on  coals)"
"tener animo:idiom. be  enthusiastic; be in the mood for"
"tener buen tipo:idiom. have a good  figure; have a good body. (used in Spain)"
"tener buen vino:idiom. be able to  handle one's alcohol"
"tener ciudado:idiom. be careful.  (lit.: to have care)"
"tener el alma en un  hilo:idiom. be on pins  and needles; have one’s heart in one’s mouth; be on tenderhooks. (lit.: to have  the soul in/by a string)"
"tener en cuenta:idiom. bear in  mind; keep in mind. (lit.: to have in account)"
"tener en mente:idiom. keep in  mind; have in mind"
"tener ganas (de):idiom. feel like.  (lit.: to have urges/desires)"
"tener gracia:idiom. be funny;  be amusing. (lit.: to have grace)"
"tener harto:idiom. be fed up.  (lit.: to have exhausted)"
"tener hasta acá:idiom. have had  enough. (lit.: to have up to here)"
"tener la culpa:idiom. be to  blame; be one’s fault"
"tener las manos  largas:idiom. be  light-fingered. (lit.: have large hands)"
"tener lugar:idiom. take place.  (lit.: to have place)"
"tener mal vino:idiom. be unable  to handle one's alcohol"
"tener mala leche:idiom. have a mean  streak"
"tener miedo (de):idiom. be afraid;  be fearful; be scared. (lit.: to have fear)"
"tener paciencia:idiom. be patient"
"tener prisa:idiom. be in a  hurry; be in a rush. (lit.: to have hurry/haste/rush). 1. Ahora tenemos un poco  de prisa. "
"tener que:idiom. have to;  must"
"tener razón:idiom. be right.  (lit.: to have reason)"
"tener sed:idiom. be thirsty"
"tener sentido:idiom. make sense.  (lit.: to have sense)"
"tener suerte:idiom. be lucky;  be fortunate. (lit.: to have luck)"
"teta:n.f. tit; boob.  (n.b.: familiar or vulgar, depending on context)"
"tiempo de perros:idiom. foul  weather; horrible weather. (lit.: weather for dogs)"
"tío:n.m. dude; guy.  (lit.: uncle; used in Spain in the 1980s)"
"tipo:n.m. guy, fellow,  chum. (n.b.: colloquial, and very common)"
"tirar:v. take somebody  somewhere by car. (used in Argentina)"
"tirar el dinero:idiom. throw money  out the window"
"tirar por el atajo:idiom. take the  easy way out. (lit.: throw for the shortcut)"
"tirarse un pedo:idiom. fart"
"tocar diana:idiom. sound  reveille. (n.b.: diana means bull's-eye)"
"todo hijo de vecino:idiom. every Tom,  Dick, and Harry; everyone"
"todo un poco:idiom. a little of  each; a little of everything"
"tomar el pelo a  alguien:idiom. be kidding;  pull someone’s leg. (lit.: to pull the hair of someone)"
"tomar el sol:idiom. sunbathe;  soak up rays; catch some rays"
"tomar en cuenta:idiom. bear in  mind; keep in mind"
"tomar nota(s):idiom. take notes;  make a note of"
"tonto de culo:n.m. asshole.  (used in Spain)"
"trabajar el doble:idiom. work  overtime; work extra"
"traje de Adán:idiom. in one’s  birthday suit; naked. (lit.: in Adam’s clothes)"
"trasero:n.m. butt; behind;  backside; bum"
"tratarse:idiom. have to do  with; be. (lit.: to treat. Used with the preposition “de”)"
"turco, -a:n.m./f. person  from the Middle East. (lit.: Turkish)"
